EID Prefix,Reply Type,Recieved From,RLOC Addresses,RLOC Priorities,RLOC Weights,RLOC States,New Deployed Count,Configuration Count ,Recieved From Count,Receievd not From RLOCs 
153.16.13.112:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.13.176:28,LISP Reply,76.102.34.4,['76.102.34.4'],['1'],['50'],['Up'],0,0,0,0
153.16.13.208:28,LISP Reply,50.174.210.10,['50.174.210.10'],['1'],['100'],['Up'],0,0,0,0
153.16.13.240:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.14.64:26,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.14.128:25,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.12.224:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.13.32:28,LISP Reply,108.245.189.84,['108.245.189.84'],['1'],['100'],['Up'],0,0,0,0
153.16.17.16:28,LISP Reply,24.94.13.140,['24.94.13.140'],['1'],['1'],['Up'],0,0,0,0
153.16.18.48:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.18.96:28,LISP Reply,68.177.12.182,['170.40.251.1'],['1'],['100'],['Up'],0,0,0,2
153.16.18.112:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.56.0:28,LISP Reply,178.32.15.16,"['178.32.15.16', '2001:41d0:2:9fd5::101:1']","['100', '100']","['10', '10']","['Up', 'Up']",0,0,0,0
153.16.12.192:27,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.13.48:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.13.80:28,LISP Reply,107.3.187.25,['107.3.187.25'],['10'],['50'],['Up'],0,0,0,0
85.184.3.0:26,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.184.3.72:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.18.224:27,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.184.3.80:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.184.3.96:27,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.17.32:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.17.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.0.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.200:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.116.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.64.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.128.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.212.96.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.96.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.30.32:28,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0
153.16.30.64:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.30.112:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.7.0:24,Negative Reply,217.8.98.42,[''],[''],[''],[''],0,0,0,0
85.184.80.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
217.128.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
218.0.0.0:7,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.70.64:27,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.70.128:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.70.192:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.70.224:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.70.48:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.70.112:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.9.128:25,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.50.0:28,LISP Reply,89.123.71.108,['89.123.71.108'],['1'],['1'],['Up'],0,0,0,0
153.16.70.144:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.70.160:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.70.176:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.70.208:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.70.240:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.71.0:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.71.32:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.71.48:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.29.112:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.30.168:30,LISP Reply,24.4.100.89,['24.4.100.89'],['1'],['100'],['Up'],0,0,0,0
153.16.71.64:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.71.96:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0
153.16.71.112:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.71.128:25,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.72.0:23,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.74.0:24,LISP Reply,113.28.84.221,['113.28.84.221'],['1'],['100'],['Up'],0,0,0,0
153.16.75.0:24,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.76.0:22,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
0.0.0.0:3,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.80.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.192.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.160.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.96.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
32.0.0.0:6,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.70.0:28,LISP Reply,125.30.44.107,"['221.189.114.163', '2001:380:6fc::1']","['1', '1']","['50', '50']","['Up', 'Up']",0,0,0,4
36.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.18.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.20.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.24.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.32.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.64.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.128.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.64.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
154.0.0.0:7,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.72.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
156.0.0.0:6,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
160.0.0.0:3,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.76.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.0.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.32.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
192.0.0.0:7,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.48.0:21,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.0:27,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.32:31,LISP Reply,95.97.83.93,['95.97.83.93'],['10'],['100'],['Up'],0,0,0,0
37.77.56.34:31,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.36:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.0.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.40:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.48:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.64:26,LISP Reply,95.97.83.93,['95.97.83.93'],['10'],['100'],['Up'],0,0,0,0
37.77.56.128:25,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.128.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.0:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.8:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.192.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.16:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.24:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.224.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.32:29,LISP Reply,212.187.98.210,['212.187.98.210'],['1'],['50'],['Up'],0,0,0,0
194.226.0.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.40:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.226.160.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.226.192.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.48:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.56:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.227.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.60:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.64:26,LISP Reply,95.97.176.115,['95.97.176.115'],['1'],['50'],['Up'],0,0,0,0
37.77.57.128:26,LISP Reply,176.74.253.154,['176.74.253.154'],['100'],['100'],['Up'],0,0,0,0
194.228.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.232.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.192:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.240.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
195.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.196:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
196.0.0.0:7,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
198.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.0.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.208:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.64.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.96.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
39.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.216:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.224:27,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.0:26,LISP Reply,95.96.53.169,['95.96.53.169'],['1'],['100'],['Up'],0,0,0,0
199.112.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.64:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.72:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.80:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.118.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.96:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.104:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.112:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.119.0.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.119.96.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.128:27,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.119.128.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.160:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.176:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.120.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.192:26,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.128.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.59.0:24,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.60.0:22,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.192.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
40.0.0.0:5,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.78.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.80.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.208.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.96.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.128.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.212.0.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.212.64.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.0.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.212.120.0:22,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.212.126.0:23,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.212.128.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.64.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.112.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.120.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.124.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.213.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.0.0:22,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.214.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.4.0:24,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.216.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.224.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.6.0:23,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.8.0:21,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.16.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.32.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
200.0.0.0:6,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.64.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.125.128.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
204.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.0.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.126.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.128.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.192.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.200.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
38.128.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.202.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.0.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
48.0.0.0:4,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.128.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
64.0.0.0:4,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
80.0.0.0:6,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.192.0:21,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.201.0:24,LISP Reply,68.174.28.237,['68.174.28.237'],['1'],['1'],['Up'],0,0,0,0
205.203.202.0:24,LISP Reply,68.174.28.237,['68.174.28.237'],['1'],['1'],['Up'],0,0,0,0
84.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.0.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.128.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.160.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.203.0:24,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.204.0:22,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.176.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.208.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.184.0.0:23,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
85.184.2.0:24,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.203.224.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
205.204.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
